file_path,x_dim,y_dim,z_dim
data/schizconnect_COBRE_images_22613/COBRE/sub-A00022835/ses-20090101/anat/sub-A00022835_ses-20090101_acq-mprage_run-02_echo-05_T1w.nii.gz,192,256,256
data/schizconnect_COBRE_images_22613/COBRE/sub-A00022835/ses-20090101/anat/sub-A00022835_ses-20090101_acq-mprage_run-04_T1w.nii.gz,192,256,256
data/schizconnect_COBRE_images_22613/COBRE/sub-A00022835/ses-20090101/anat/sub-A00022835_ses-20090101_acq-mprage_run-02_echo-03_T1w.nii.gz,192,256,256
data/schizconnect_COBRE_images_22613/COBRE/sub-A00022835/ses-20090101/anat/sub-A00022835_ses-20090101_acq-mprage_run-02_echo-02_T1w.nii.gz,192,256,256
data/schizconnect_COBRE_images_22613/COBRE/sub-A00022835/ses-20090101/anat/sub-A00022835_ses-20090101_acq-mprage_run-02_echo-04_T1w.nii.gz,192,256,256
data/schizconnect_COBRE_images_22613/COBRE/sub-A00022835/ses-20090101/anat/sub-A00022835_ses-20090101_acq-mprage_run-03_echo-05_T1w.nii.gz,192,256,256
data/schizconnect_COBRE_images_22613/COBRE/sub-A00022835/ses-20090101/anat/sub-A00022835_ses-20090101_acq-mprage_run-03_echo-04_T1w.nii.gz,192,256,256
data/schizconnect_COBRE_images_22613/COBRE/sub-A00022835/ses-20090101/anat/sub-A00022835_ses-20090101_acq-mprage_run-03_echo-03_T1w.nii.gz,192,256,256
data/schizconnect_COBRE_images_22613/COBRE/sub-A00022835/ses-20090101/anat/sub-A00022835_ses-20090101_acq-mprage_run-01_T1w.nii.gz,192,256,256
data/schizconnect_COBRE_images_22613/COBRE/sub-A00022835/ses-20090101/anat/sub-A00022835_ses-20090101_acq-mprage_run-03_echo-02_T1w.nii.gz,192,256,256
data/schizconnect_COBRE_images_22613/COBRE/sub-A00022835/ses-20090101/anat/sub-A00022835_ses-20090101_acq-mprage_run-02_echo-01_T1w.nii.gz,192,256,256
data/schizconnect_COBRE_images_22613/COBRE/sub-A00022835/ses-20090101/anat/sub-A00022835_ses-20090101_T2w.nii.gz,192,192,120
data/schizconnect_COBRE_images_22613/COBRE/sub-A00022835/ses-20090101/anat/sub-A00022835_ses-20090101_acq-mprage_run-03_echo-01_T1w.nii.gz,192,256,256
data/schizconnect_COBRE_images_22613/COBRE/sub-A00014804/ses-20090101/anat/sub-A00014804_ses-20090101_acq-mprage_run-03_echo-01_T1w.nii.gz,192,256,256
data/schizconnect_COBRE_images_22613/COBRE/sub-A00014804/ses-20090101/anat/sub-A00014804_ses-20090101_acq-mprage_run-02_echo-05_T1w.nii.gz,192,256,256
data/schizconnect_COBRE_images_22613/COBRE/sub-A00014804/ses-20090101/anat/sub-A00014804_ses-20090101_acq-mprage_run-01_T1w.nii.gz,192,256,256
data/schizconnect_COBRE_images_22613/COBRE/sub-A00014804/ses-20090101/anat/sub-A00014804_ses-20090101_acq-mprage_run-02_echo-01_T1w.nii.gz,192,256,256
data/schizconnect_COBRE_images_22613/COBRE/sub-A00014804/ses-20090101/anat/sub-A00014804_ses-20090101_acq-mprage_run-03_echo-03_T1w.nii.gz,192,256,256
